Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj	threshold
LRRC32	27.29529644269685	5.879749453296615	0.827548501253416	1.2695424856740195e-13	1.0757158247798349e-11	TRUE
COMP	84.82157827593181	5.877914747077929	0.6189612017228459	3.62104614144639e-22	1.819920924261617e-19	TRUE
CSPG4	13.336381554341969	5.876874069574966	0.8878802650500427	5.110149064767206e-12	3.103138019579886e-10	TRUE
LINC00961	2.982760332077581	5.8728013574450575	1.3869214853969676	2.9457188596841235e-6	3.9004457899185116e-5	TRUE
A2M	173.83840648385276	5.848281703947595	0.6142609469412974	3.6629852553639427e-22	1.819920924261617e-19	TRUE
KCNK2	3.870324594744363	5.839077036298139	1.2043043535389122	4.395342353975885e-8	9.764896260189718e-7	TRUE
RP11-417E7.2	3.022391923538925	5.8370624706466625	1.6608629650278657	3.659044732227976e-5	3.405294886812933e-4	TRUE
OLFML2B	88.40672411162876	5.818478169612588	0.6763372740007313	2.1896877411278226e-18	5.318751523199481e-16	TRUE
RP11-400N13.3	0.7205642156982742	5.797441250856346	1.4563122228839231	0.024415476617006906	0.07504175023771091	FALSE
COX7A1	50.947998463258855	5.773163477214401	0.6944155708219542	2.4797831112854947e-17	5.212551788058865e-15	TRUE
NR2F2	70.46949451914561	5.768676897128669	0.9705493081430838	6.1281377605365e-10	2.2070382138894307e-008	TRUE
OGN	26.124594525709465	5.757280007598828	0.7792162433927304	2.3079763626798308e-14	2.3799373237992348e-12	TRUE
PDGFRA	20.41014941151303	5.75230071698251	0.7499751281962272	3.525394766971099e-15	4.4931797778299257e-013	TRUE
RERG	15.434143858926024	5.750114974133334	1.408009531307928	3.3043607552817178e-6	4.312634654997829e-5	TRUE
EPAS1	119.64474537322607	5.748099342857395	0.525937291680226	1.9375912922792845e-28	3.258283326193649e-25	TRUE
APOC2	2.786516985528479	5.736209092069729	0.5937209773716379	1.466719600461404e-5	1.5605814842481442e-4	TRUE
CHSY3	0.9735556413498191	5.7193098519927155	1.5005606544874357	0.0038934925012077586	0.017264835612353514	TRUE
NTRK2	21.284710100298664	5.70582753681247	0.8442884945884257	2.599807433664242e-12	1.65697930925172e-10	TRUE
PDLIM4	18.646487547818676	5.697467344767266	0.7207799778997832	9.578545802248267e-16	1.3959772652196624e-13	TRUE
C1S	84.84043933032538	5.694196874554089	0.5646559245619382	1.5112660921579005e-24	1.2236217792838467e-21	TRUE
